stock,window_size,z_threshold,min_duration,start_date,end_date,peak_date,max_zscore,price_change,avg_volume_ratio,detect_params,params_count
2436,30,2,2,2024-03-06 00:00:00+08:00,2024-03-07 00:00:00+08:00,2024-03-06 00:00:00+08:00,2.494607505517225,0,1.8561234649850649,"[{'window_size': 30, 'z_threshold': 2.0, 'min_duration': 2}]",1
2436,60,2,2,2024-03-13 00:00:00+08:00,2024-03-14 00:00:00+08:00,2024-03-13 00:00:00+08:00,2.423020770821893,0,17.28893606668027,"[{'window_size': 60, 'z_threshold': 2.0, 'min_duration': 2}]",1
2436,60,2,2,2024-10-18 00:00:00+08:00,2024-10-21 00:00:00+08:00,2024-10-18 00:00:00+08:00,2.5607582878278485,0,2.731585302742798,"[{'window_size': 60, 'z_threshold': 2.0, 'min_duration': 2}, {'window_size': 60, 'z_threshold': 2.3, 'min_duration': 2}]",2
2438,20,2,2,2024-06-05 00:00:00+08:00,2024-06-06 00:00:00+08:00,2024-06-05 00:00:00+08:00,3.3855142983451474,-0.074509828,1.6772333619638213,"[{'window_size': 20, 'z_threshold': 2.0, 'min_duration': 2}, {'window_size': 20, 'z_threshold': 2.3, 'min_duration': 2}, {'window_size': 20, 'z_threshold': 2.5, 'min_duration': 2}]",3
2438,30,2,2,2024-09-30 00:00:00+08:00,2024-10-07 00:00:00+08:00,2024-10-02 00:00:00+08:00,3.3724790426926368,0.4475524539649969,3.126046727466858,"[{'window_size': 30, 'z_threshold': 2.0, 'min_duration': 2}, {'window_size': 30, 'z_threshold': 2.0, 'min_duration': 3}, {'window_size': 20, 'z_threshold': 2.0, 'min_duration': 2}, {'window_size': 20, 'z_threshold': 2.0, 'min_duration': 3}, {'window_size': 20, 'z_threshold': 2.3, 'min_duration': 2}, {'window_size': 20, 'z_threshold': 2.3, 'min_duration': 3}, {'window_size': 30, 'z_threshold': 2.3, 'min_duration': 2}, {'window_size': 30, 'z_threshold': 2.3, 'min_duration': 3}, {'window_size': 30, 'z_threshold': 2.5, 'min_duration': 2}, {'window_size': 30, 'z_threshold': 2.5, 'min_duration': 3}, {'window_size': 60, 'z_threshold': 2.0, 'min_duration': 2}, {'window_size': 60, 'z_threshold': 2.0, 'min_duration': 3}, {'window_size': 60, 'z_threshold': 2.3, 'min_duration': 2}, {'window_size': 60, 'z_threshold': 2.3, 'min_duration': 3}, {'window_size': 60, 'z_threshold': 2.5, 'min_duration': 2}]",15
2440,20,2,2,2023-03-02 00:00:00+08:00,2023-03-03 00:00:00+08:00,2023-03-02 00:00:00+08:00,3.66872539,-0.011299424,3.7861322314336316,"[{'window_size': 20, 'z_threshold': 2.0, 'min_duration': 2}, {'window_size': 20, 'z_threshold': 2.3, 'min_duration': 2}, {'window_size': 20, 'z_threshold': 2.5, 'min_duration': 2}]",3
2440,20,2,2,2023-05-17 00:00:00+08:00,2023-05-22 00:00:00+08:00,2023-05-18 00:00:00+08:00,3.122850774123818,0.096618384,3.1812610804324732,"[{'window_size': 20, 'z_threshold': 2.0, 'min_duration': 2}, {'window_size': 20, 'z_threshold': 2.0, 'min_duration': 3}, {'window_size': 20, 'z_threshold': 2.3, 'min_duration': 2}, {'window_size': 20, 'z_threshold': 2.3, 'min_duration': 3}, {'window_size': 20, 'z_threshold': 2.5, 'min_duration': 2}, {'window_size': 20, 'z_threshold': 2.5, 'min_duration': 3}, {'window_size': 30, 'z_threshold': 2.0, 'min_duration': 2}, {'window_size': 30, 'z_threshold': 2.0, 'min_duration': 3}, {'window_size': 60, 'z_threshold': 2.0, 'min_duration': 2}, {'window_size': 60, 'z_threshold': 2.0, 'min_duration': 3}, {'window_size': 60, 'z_threshold': 2.3, 'min_duration': 2}, {'window_size': 60, 'z_threshold': 2.3, 'min_duration': 3}, {'window_size': 30, 'z_threshold': 2.3, 'min_duration': 2}]",13
2440,20,2,2,2023-08-16 00:00:00+08:00,2023-08-18 00:00:00+08:00,2023-08-18 00:00:00+08:00,2.874852338436287,-0.079754599,3.1489818282544273,"[{'window_size': 20, 'z_threshold': 2.0, 'min_duration': 2}, {'window_size': 20, 'z_threshold': 2.0, 'min_duration': 3}, {'window_size': 30, 'z_threshold': 2.0, 'min_duration': 2}, {'window_size': 30, 'z_threshold': 2.0, 'min_duration': 3}, {'window_size': 30, 'z_threshold': 2.3, 'min_duration': 2}, {'window_size': 30, 'z_threshold': 2.3, 'min_duration': 3}, {'window_size': 30, 'z_threshold': 2.5, 'min_duration': 2}, {'window_size': 30, 'z_threshold': 2.5, 'min_duration': 3}, {'window_size': 20, 'z_threshold': 2.3, 'min_duration': 2}]",9
2440,60,2,2,2023-11-28 00:00:00+08:00,2023-11-29 00:00:00+08:00,2023-11-29 00:00:00+08:00,2.694586521668913,-0.027586262,1.6587969180745035,"[{'window_size': 60, 'z_threshold': 2.0, 'min_duration': 2}]",1
2440,60,2,2,2024-03-25 00:00:00+08:00,2024-03-26 00:00:00+08:00,2024-03-25 00:00:00+08:00,2.761392005261743,0.070000052,6.362180895,"[{'window_size': 60, 'z_threshold': 2.0, 'min_duration': 2}]",1
2440,20,2,2,2024-06-04 00:00:00+08:00,2024-06-05 00:00:00+08:00,2024-06-05 00:00:00+08:00,2.7751433442921143,0.028037355064628677,3.5557527358769594,"[{'window_size': 20, 'z_threshold': 2.0, 'min_duration': 2}]",1
2440,20,2,2,2024-10-03 00:00:00+08:00,2024-10-07 00:00:00+08:00,2024-10-03 00:00:00+08:00,4.038341050330198,0.071428576,16.326317767893613,"[{'window_size': 20, 'z_threshold': 2.0, 'min_duration': 2}, {'window_size': 20, 'z_threshold': 2.3, 'min_duration': 2}, {'window_size': 30, 'z_threshold': 2.0, 'min_duration': 2}, {'window_size': 30, 'z_threshold': 2.3, 'min_duration': 2}, {'window_size': 30, 'z_threshold': 2.5, 'min_duration': 2}, {'window_size': 60, 'z_threshold': 2.0, 'min_duration': 2}, {'window_size': 60, 'z_threshold': 2.0, 'min_duration': 3}, {'window_size': 60, 'z_threshold': 2.3, 'min_duration': 2}, {'window_size': 60, 'z_threshold': 2.3, 'min_duration': 3}, {'window_size': 60, 'z_threshold': 2.5, 'min_duration': 2}]",10
