train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 0.713462, test_loss: 0.411658, MSE: 0.382416, IC: -0.002743, RIC: 0.000223, Precision@10: 0.118750
Epoch 44/100, running_loss: 0.014046, test_loss: 0.214330, MSE: 0.190579, IC: -0.007336, RIC: -0.031957, Precision@10: 0.167708
Epoch 45/100, running_loss: 0.013797, test_loss: 0.279919, MSE: 0.254448, IC: 0.004456, RIC: -0.025581, Precision@10: 0.158333
Epoch 46/100, running_loss: 0.014599, test_loss: 0.214572, MSE: 0.189306, IC: -0.027432, RIC: -0.052316, Precision@10: 0.141667
Epoch 47/100, running_loss: 0.013958, test_loss: 0.203291, MSE: 0.180608, IC: 0.004888, RIC: -0.044508, Precision@10: 0.163542
Epoch 48/100, running_loss: 0.014051, test_loss: 0.214505, MSE: 0.191948, IC: 0.012087, RIC: -0.013454, Precision@10: 0.170833
Epoch 49/100, running_loss: 0.013555, test_loss: 0.199507, MSE: 0.175622, IC: 0.002471, RIC: -0.029513, Precision@10: 0.166667
Epoch 50/100, running_loss: 0.013472, test_loss: 0.229943, MSE: 0.204606, IC: -0.003176, RIC: -0.024307, Precision@10: 0.147917
Epoch 51/100, running_loss: 0.015632, test_loss: 0.243422, MSE: 0.217615, IC: 0.011177, RIC: -0.008497, Precision@10: 0.173958
Epoch 52/100, running_loss: 0.013556, test_loss: 0.255948, MSE: 0.231055, IC: -0.015546, RIC: -0.051475, Precision@10: 0.171875
Epoch 53/100, running_loss: 0.013713, test_loss: 0.226941, MSE: 0.202865, IC: -0.009382, RIC: -0.036542, Precision@10: 0.157292
Epoch 54/100, running_loss: 0.013367, test_loss: 0.245552, MSE: 0.220846, IC: -0.004747, RIC: -0.020220, Precision@10: 0.171875
Epoch 55/100, running_loss: 0.013996, test_loss: 0.233180, MSE: 0.207319, IC: -0.030135, RIC: -0.048704, Precision@10: 0.161458
Epoch 56/100, running_loss: 0.013299, test_loss: 0.200809, MSE: 0.177989, IC: 0.040697, RIC: -0.000719, Precision@10: 0.181250
Epoch 57/100, running_loss: 0.013288, test_loss: 0.256543, MSE: 0.228991, IC: -0.047470, RIC: -0.060302, Precision@10: 0.144792
Epoch 58/100, running_loss: 0.013562, test_loss: 0.215253, MSE: 0.188599, IC: -0.023041, RIC: -0.045840, Precision@10: 0.162500
Epoch 59/100, running_loss: 0.013693, test_loss: 0.221429, MSE: 0.196242, IC: -0.020426, RIC: -0.057778, Precision@10: 0.141667
Epoch 60/100, running_loss: 0.012047, test_loss: 0.227040, MSE: 0.203260, IC: 0.019025, RIC: -0.005313, Precision@10: 0.178125
Epoch 61/100, running_loss: 0.012782, test_loss: 0.235451, MSE: 0.210951, IC: 0.012250, RIC: -0.007649, Precision@10: 0.166667
Epoch 62/100, running_loss: 0.013180, test_loss: 0.230687, MSE: 0.206699, IC: -0.004372, RIC: -0.039451, Precision@10: 0.164583
Epoch 63/100, running_loss: 0.012757, test_loss: 0.237526, MSE: 0.211686, IC: -0.026686, RIC: -0.054458, Precision@10: 0.143750
Epoch 64/100, running_loss: 0.012325, test_loss: 0.238270, MSE: 0.214538, IC: 0.006249, RIC: -0.019640, Precision@10: 0.164583
Epoch 65/100, running_loss: 0.012717, test_loss: 0.208646, MSE: 0.185175, IC: -0.014602, RIC: -0.051388, Precision@10: 0.163542
Epoch 66/100, running_loss: 0.012483, test_loss: 0.208780, MSE: 0.186501, IC: 0.028718, RIC: -0.002983, Precision@10: 0.155208
Epoch 67/100, running_loss: 0.012105, test_loss: 0.227396, MSE: 0.203461, IC: 0.013197, RIC: -0.009519, Precision@10: 0.163542
