,Industry
0700.HK,N/A
9988.HK,N/A
3690.HK,N/A
1810.HK,N/A
9618.HK,N/A
9888.HK,N/A
1024.HK,N/A
2382.HK,N/A
2015.HK,N/A
9866.HK,N/A
1211.HK,N/A
6690.HK,N/A
2269.HK,N/A
9999.HK,N/A
9688.HK,N/A
3898.HK,N/A
1797.HK,N/A
9146.HK,N/A
1876.HK,N/A
6186.HK,N/A
2410.HK,N/A
6066.HK,N/A
9626.HK,N/A
2168.HK,N/A
6618.HK,N/A
1833.HK,N/A
6098.HK,N/A
9868.HK,N/A
6886.HK,N/A
6969.HK,N/A
