train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 8.551186, test_loss: 12.622655, MSE: 12.596778, IC: 0.013855, RIC: -0.000184, Precision@10: 0.108333
Epoch 44/100, running_loss: 5.928567, test_loss: 18.016012, MSE: 14.323036, IC: -0.039012, RIC: -0.042173, Precision@10: 0.132292
Epoch 45/100, running_loss: 5.778734, test_loss: 16.709707, MSE: 13.332806, IC: -0.005857, RIC: -0.015168, Precision@10: 0.143750
Epoch 46/100, running_loss: 5.736244, test_loss: 14.252333, MSE: 11.042709, IC: -0.016638, RIC: -0.001339, Precision@10: 0.135417
Epoch 47/100, running_loss: 5.757990, test_loss: 17.003463, MSE: 13.885991, IC: 0.033163, RIC: 0.042847, Precision@10: 0.156250
Epoch 48/100, running_loss: 5.693748, test_loss: 14.790787, MSE: 11.406777, IC: 0.009803, RIC: 0.017198, Precision@10: 0.144792
Epoch 49/100, running_loss: 5.859480, test_loss: 13.552700, MSE: 10.573315, IC: -0.007780, RIC: -0.018445, Precision@10: 0.133333
Epoch 50/100, running_loss: 5.886536, test_loss: 14.784972, MSE: 11.609848, IC: 0.019723, RIC: 0.022969, Precision@10: 0.143750
Epoch 51/100, running_loss: 5.816955, test_loss: 18.810678, MSE: 15.231552, IC: -0.013799, RIC: -0.009575, Precision@10: 0.144792
Epoch 52/100, running_loss: 5.711113, test_loss: 13.709705, MSE: 10.720372, IC: 0.005093, RIC: 0.001552, Precision@10: 0.135417
Epoch 53/100, running_loss: 5.569880, test_loss: 14.812901, MSE: 11.720271, IC: 0.020292, RIC: 0.021166, Precision@10: 0.144792
Epoch 54/100, running_loss: 5.565520, test_loss: 14.038588, MSE: 11.230861, IC: 0.055590, RIC: 0.048873, Precision@10: 0.176042
Epoch 55/100, running_loss: 5.491204, test_loss: 17.169442, MSE: 13.838773, IC: 0.007226, RIC: 0.001439, Precision@10: 0.132292
Epoch 56/100, running_loss: 5.451339, test_loss: 14.082142, MSE: 10.840897, IC: -0.001544, RIC: -0.002344, Precision@10: 0.127083
Epoch 57/100, running_loss: 5.429815, test_loss: 15.062481, MSE: 11.353389, IC: 0.006744, RIC: 0.021813, Precision@10: 0.146875
Epoch 58/100, running_loss: 5.467510, test_loss: 17.541292, MSE: 14.385303, IC: 0.058890, RIC: 0.052403, Precision@10: 0.164583
Epoch 59/100, running_loss: 5.439909, test_loss: 15.309323, MSE: 11.856644, IC: 0.013924, RIC: 0.009127, Precision@10: 0.152083
Epoch 60/100, running_loss: 5.437388, test_loss: 17.723859, MSE: 14.476738, IC: 0.031513, RIC: 0.038400, Precision@10: 0.134375
Epoch 61/100, running_loss: 5.455110, test_loss: 15.098609, MSE: 12.011365, IC: 0.011976, RIC: 0.007548, Precision@10: 0.152083
Epoch 62/100, running_loss: 5.682370, test_loss: 16.129221, MSE: 12.523366, IC: 0.003140, RIC: -0.022539, Precision@10: 0.141667
Epoch 63/100, running_loss: 5.500451, test_loss: 19.494788, MSE: 15.940312, IC: -0.013601, RIC: 0.000520, Precision@10: 0.133333
Epoch 64/100, running_loss: 5.424520, test_loss: 14.285126, MSE: 11.035675, IC: 0.015406, RIC: 0.007496, Precision@10: 0.141667
Epoch 65/100, running_loss: 5.408876, test_loss: 16.754556, MSE: 12.704394, IC: 0.011284, RIC: -0.005638, Precision@10: 0.147917
Epoch 66/100, running_loss: 5.370945, test_loss: 19.134537, MSE: 14.868342, IC: -0.020469, RIC: -0.024244, Precision@10: 0.150000
Epoch 67/100, running_loss: 5.250798, test_loss: 14.481808, MSE: 10.718993, IC: 0.001213, RIC: 0.013714, Precision@10: 0.139583
